board state,rotation,x_pos,reward
"[[1, 0, 0], [1, 1, 0], [1, 1, 0], [1, 1, 1]][[1]]",0,2,10.185937863804451
"[[0, 0, 0], [1, 0, 0], [1, 1, 0], [1, 1, 1]][[1]]",3,1,7.37161558817744
"[[0, 0, 0], [1, 1, 0], [1, 1, 0], [1, 1, 1]][[1]]",0,1,-12.756453795080466
"[[0, 0, 0], [1, 0, 0], [1, 0, 0], [1, 1, 1]][[1]]",0,2,10.606944101522236
"[[0, 0, 0], [0, 0, 1], [1, 0, 1], [1, 1, 1]][[1]]",2,2,10.21572380530384
"[[0, 0, 0], [0, 0, 1], [0, 0, 1], [1, 1, 1]][[1]]",0,0,15.154429657488917
"[[0, 0, 0], [0, 0, 1], [0, 0, 1], [1, 1, 1]][[1]]",3,1,11.244985068261117
"[[0, 0, 0], [0, 0, 1], [0, 1, 1], [1, 1, 1]][[1]]",2,0,19.113084486633152
"[[0, 0, 0], [0, 1, 0], [0, 1, 1], [1, 1, 1]][[1]]",0,1,-5.832655013135729
"[[0, 0, 0], [1, 0, 0], [1, 0, 0], [1, 1, 1]][[1]]",3,2,12.899409218511407
"[[1, 0, 0], [1, 0, 0], [1, 1, 0], [1, 1, 1]][[1]]",0,2,5.3203706156742765
"[[0, 0, 0], [1, 1, 0], [1, 1, 0], [1, 1, 1]][[1]]",1,0,2.165220405099362
"[[1, 0, 0], [1, 1, 0], [1, 1, 0], [1, 1, 1]][[1]]",3,1,-10.011995106598727
"[[0, 0, 0], [0, 0, 0], [1, 0, 0], [1, 1, 1]][[1]]",3,1,11.214855895085792
"[[0, 0, 0], [0, 0, 0], [1, 1, 0], [1, 1, 1]][[1]]",2,2,16.030044656965334
"[[0, 0, 1], [0, 0, 1], [0, 1, 1], [1, 1, 1]][[1]]",2,1,8.011628760991368
"[[0, 0, 0], [1, 0, 1], [1, 0, 1], [1, 1, 1]][[1]]",2,0,9.224872471458072
"[[0, 0, 0], [0, 1, 0], [0, 1, 0], [1, 1, 1]][[1]]",0,0,6.0005951233483135
"[[0, 0, 0], [0, 1, 0], [1, 1, 0], [1, 1, 1]][[1]]",0,1,-13.172223881995624
"[[0, 0, 0], [0, 1, 1], [0, 1, 1], [1, 1, 1]][[1]]",0,2,6.28600191213609
"[[0, 0, 0], [0, 0, 1], [0, 1, 1], [1, 1, 1]][[1]]",1,2,8.123096188576636
"[[0, 0, 1], [0, 0, 1], [0, 1, 1], [1, 1, 1]][[1]]",2,0,12.828763915675648
"[[0, 0, 0], [0, 0, 1], [0, 0, 1], [1, 1, 1]][[1]]",3,0,11.037571081955628
"[[0, 0, 0], [0, 0, 1], [1, 0, 1], [1, 1, 1]][[1]]",0,2,8.950526683934008
"[[0, 0, 1], [1, 0, 1], [1, 0, 1], [1, 1, 1]][[1]]",3,1,17.275599433645397
"[[0, 0, 0], [0, 0, 1], [1, 0, 1], [1, 1, 1]][[1]]",1,2,6.715318615115607
"[[0, 0, 0], [0, 1, 1], [0, 1, 1], [1, 1, 1]][[1]]",0,0,9.227214971936458
"[[0, 0, 1], [0, 0, 1], [0, 1, 1], [1, 1, 1]][[1]]",0,1,8.84140023429015
"[[0, 0, 1], [0, 1, 1], [0, 1, 1], [1, 1, 1]][[1]]",1,1,-11.42022108491262
